Stage,ComVE_BLEU1,ComVE_BLEU2,ComVE_BLEU3,ComVE_BLEU4,ComVE_ROUGEL,ComVE_BERTScore,eSNLI_BLEU1,eSNLI_BLEU2,eSNLI_BLEU3,eSNLI_BLEU4,eSNLI_ROUGEL,eSNLI_BERTScore,ECQA_BLEU1,ECQA_BLEU2,ECQA_BLEU3,ECQA_BLEU4,ECQA_ROUGEL,ECQA_BERTScore
Init-NLE,10.41,4.96,2.68,1.71,17.04,76.46,14.14,7.57,4.46,2.9,20.93,76.85,15.0,6.65,3.45,2.03,19.3,77.97
SR-NLE,6.86,3.04,1.58,0.98,12.06,74.4,9.39,4.86,2.82,1.8,15.12,74.98,17.62,7.3,3.54,2.0,18.12,77.12
PCR-1,7.32,3.47,1.83,1.14,12.64,74.27,8.31,4.55,2.68,1.72,13.46,74.26,16.78,7.33,3.55,1.94,17.97,77.3
PCR-2,3.9,1.74,0.87,0.53,7.61,71.97,5.87,3.41,2.06,1.31,10.34,73.16,15.94,7.05,3.38,1.84,17.18,76.92
